HSA Number,HSA Name,Medicare enrollees (2014),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2014),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2014)
1001,AL-Alabaster,14342,5.10,5.29
1002,AL-Alexander City,3575,5.45,5.74
1003,AL-Andalusia,4655,5.40,5.42
1004,AL-Anniston,16180,5.39,5.57
1006,AL-Ashland,2062,5.09,5.32
1007,AL-Athens,9738,5.22,5.25
1008,AL-Atmore,2562,6.51,6.63
1010,AL-Bessemer,14817,5.28,5.40
1011,AL-Birmingham,117877,4.72,4.73
1012,AL-Boaz,9531,5.45,5.61
1013,AL-Brewton,3942,5.21,5.31
1014,AL-Bridgeport,1405,6.08,6.25
1016,AL-Camden,1097,5.76,5.94
1017,AL-Carrollton,1977,5.02,5.02
1018,AL-Centre,4220,5.65,6.02
1019,AL-Centreville,1495,5.35,5.82
1022,AL-Cullman,14815,4.95,4.89
1023,AL-Dadeville,1807,3.96,4.12
1024,AL-Decatur,12034,4.85,4.90
1025,AL-Demopolis,2746,4.86,5.09
1026,AL-Dothan,29964,4.93,5.04
1027,AL-Elba,1421,5.58,5.31
1028,AL-Enterprise,5859,4.95,4.94
1029,AL-Eufaula,2837,5.43,5.95
1031,AL-Evergreen,1387,4.99,5.40
1032,AL-Fairhope,7502,4.42,4.78
1033,AL-Fayette,2467,5.15,5.30
1035,AL-Florala,771,5.41,5.57
1036,AL-Florence,16865,5.20,5.40
1037,AL-Foley,12950,4.20,4.14
1038,AL-Fort Payne,7485,5.60,5.87
1039,AL-Gadsden,16496,5.51,5.64
1040,AL-Geneva,2698,5.87,5.89
1044,AL-Greenville,3497,5.44,5.88
1045,AL-Grove Hill,1285,5.05,4.90
1046,AL-Guntersville,6236,5.34,5.44
1047,AL-Haleyville,3315,5.44,5.39
1048,AL-Hamilton,2362,5.28,4.95
1049,AL-Hartselle,5029,5.25,5.31
1051,AL-Huntsville,53738,4.63,4.71
1053,AL-Jacksonville,4886,5.42,5.53
1054,AL-Jasper,10072,5.64,5.66
1056,AL-Luverne,1557,5.52,5.00
1057,AL-Mobile,74948,5.00,5.07
1058,AL-Monroeville,3740,4.87,5.06
1059,AL-Montgomery,42858,4.88,4.72
1060,AL-Moulton,5344,6.13,6.40
1061,AL-Muscle Shoals/Sheffield,9615,5.64,5.77
1063,AL-Oneonta,3943,5.32,5.03
1064,AL-Opelika,17204,4.95,5.01
1065,AL-Opp,2448,6.09,6.12
1066,AL-Ozark,4086,4.88,4.96
1068,AL-Phenix City,8830,5.33,5.35
1070,AL-Prattville,5982,4.87,4.74
1071,AL-Red Bay,1112,5.72,6.06
1072,AL-Roanoke,2184,6.69,7.27
1073,AL-Russellville,4346,6.00,6.26
1074,AL-Scottsboro,6182,5.70,5.92
1075,AL-Selma,9377,4.93,5.10
1077,AL-Sylacauga,5594,5.15,5.40
1078,AL-Talladega,5526,5.29,5.61
1079,AL-Tallassee,2011,4.99,4.70
1080,AL-Thomasville,2413,4.58,4.67
1081,AL-Troy,5119,4.82,4.72
1082,AL-Tuscaloosa,27485,5.23,5.33
1083,AL-Union Springs,1373,4.48,4.00
1084,AL-Valley,5626,4.91,5.01
1085,AL-Vernon,1625,6.85,6.92
1086,AL-Wedowee,1661,4.94,4.90
1088,AL-Winfield,2763,6.01,6.14
2001,AK-Anchorage,27166,4.20,4.24
2002,AK-Cordova,272,,
2003,AK-Fairbanks,9232,4.67,4.71
2004,AK-Homer,1961,3.68,3.77
2005,AK-Juneau,4388,4.74,4.72
2006,AK-Ketchikan,2416,4.57,4.63
2007,AK-Kodiak,1179,3.91,4.01
2008,AK-Nome,472,,
2009,AK-Palmer,8755,4.46,4.49
2010,AK-Petersburg,568,,
2011,AK-Seward,473,,
2012,AK-Sitka,1110,4.69,4.68
2013,AK-Soldotna,5293,4.05,4.08
2014,AK-Valdez,343,,
2015,AK-Wrangell,405,,
2016,AK-Barrow,458,,
2017,AK-Bethel,1410,5.21,5.20
2018,AK-Dillingham,411,,
2019,AK-Kotzebue,458,,
3002,AZ-Bisbee,2042,4.05,4.00
3003,AZ-Bullhead City,17976,5.35,5.32
3004,AZ-Casa Grande,19757,4.41,4.49
3005,AZ-Chandler,29664,3.74,3.64
3006,AZ-Cottonwood,20679,3.82,3.67
3007,AZ-Douglas,2816,3.42,3.16
3008,AZ-Flagstaff,9386,4.16,4.07
3009,AZ-Florence,3026,4.14,3.93
3010,AZ-Ganado,3343,3.52,3.51
3014,AZ-Kingman,15777,5.23,5.41
3015,AZ-Lake Havasu City,14737,4.20,4.36
3016,AZ-Mesa,135848,4.16,4.08
3019,AZ-Page,1136,4.55,4.35
3020,AZ-Parker,4593,5.56,5.43
3021,AZ-Payson,8308,4.42,4.59
3022,AZ-Phoenix,211707,4.34,4.17
3023,AZ-Prescott,35963,3.96,4.03
3024,AZ-Safford,4078,4.67,4.88
3025,AZ-Scottsdale,54971,3.55,3.45
3026,AZ-Show Low,11171,4.50,4.80
3027,AZ-Sierra Vista,12698,4.10,4.16
3028,AZ-Springerville,2303,4.81,4.48
3029,AZ-Sun City,83939,3.58,3.59
3032,AZ-Tucson,180127,3.90,3.86
3033,AZ-Wickenburg,4385,5.14,4.97
3034,AZ-Willcox,1413,3.93,3.96
3035,AZ-Winslow,3161,4.72,4.77
3037,AZ-Yuma,26437,4.27,4.24
3038,AZ-Chinle,2534,3.28,3.32
3040,AZ-Keams Canyon,965,3.87,3.96
3042,AZ-San Carlos,668,,
3044,AZ-Tuba City,2984,3.17,3.25
3047,AZ-Claypool,3531,5.18,5.41
4001,AR-Arkadelphia,3495,4.89,5.00
4002,AR-Ashdown,1721,5.67,5.67
4003,AR-Batesville,8362,5.23,5.31
4004,AR-Benton,10796,5.60,5.70
4005,AR-Bentonville,12829,3.76,4.15
4006,AR-Berryville,2957,4.92,4.77
4007,AR-Blytheville,3606,5.21,5.36
4008,AR-Booneville,1447,5.52,6.26
4010,AR-Calico Rock,1906,4.85,4.85
4011,AR-Camden,4299,5.55,5.94
4012,AR-Cherokee Village,3340,5.01,4.84
4013,AR-Clarksville,3642,5.42,5.52
4015,AR-Conway,12610,5.05,5.05
4017,AR-Crossett,3341,5.82,6.02
4018,AR-Danville,1898,5.13,5.29
4019,AR-Dardanelle,1876,5.65,5.72
4020,AR-De Queen,2586,5.50,5.53
4021,AR-De Witt,1183,6.16,6.22
4023,AR-Dumas,1399,5.17,5.27
4024,AR-El Dorado,7448,5.32,5.37
4025,AR-Eureka Springs,2554,4.44,4.78
4026,AR-Fayetteville,15053,4.83,5.04
4027,AR-Fordyce,1392,5.36,5.35
4028,AR-Forrest City,3991,5.34,5.33
4029,AR-Fort Smith,36714,5.51,5.69
4030,AR-Gravette,2016,5.76,5.87
4031,AR-Harrison,10317,4.70,4.82
4032,AR-Heber Springs,3493,4.51,4.52
4033,AR-Helena,3186,5.62,5.86
4034,AR-Hope,3402,5.57,5.60
4035,AR-Hot Springs,29537,4.60,4.73
4038,AR-Jacksonville,10551,4.95,4.96
4039,AR-Jonesboro,21150,5.76,5.74
4040,AR-Lake Village,1878,5.08,5.06
4041,AR-Little Rock,49242,4.62,4.71
4042,AR-Magnolia,4114,4.81,4.88
4043,AR-Malvern,4670,5.34,5.38
4045,AR-McGehee,1429,5.25,5.48
4046,AR-Mena,4268,5.53,5.71
4047,AR-Monticello,2465,5.40,5.61
4048,AR-Morrilton,3092,5.03,5.11
4049,AR-Mountain Home,17277,4.91,5.15
4050,AR-Mountain View,2740,4.37,4.68
4051,AR-Murfreesboro,981,5.65,5.20
4052,AR-Nashville,2705,4.91,5.09
4053,AR-Newport,3379,5.90,5.91
4054,AR-North Little Rock,14633,4.67,4.75
4055,AR-Osceola,1673,5.29,4.70
4056,AR-Ozark,1980,5.77,5.51
4057,AR-Paragould,7306,4.86,4.92
4059,AR-Piggott,1280,5.44,5.74
4060,AR-Pine Bluff,12826,4.87,4.85
4061,AR-Pocahontas,2964,5.05,4.75
4062,AR-Prescott,1022,5.06,5.19
4063,AR-Rogers,10713,4.86,4.88
4064,AR-Russellville,8811,4.82,4.99
4065,AR-Salem,1169,6.24,6.74
4066,AR-Searcy,14963,5.24,5.42
4067,AR-Siloam Springs,5696,5.30,5.85
4068,AR-Springdale,12450,4.88,5.07
4069,AR-Stuttgart,3595,5.14,5.47
4070,AR-Texarkana,6655,5.17,5.22
4072,AR-Waldron,1507,5.32,5.31
4074,AR-Warren,2066,4.65,4.56
4075,AR-West Memphis,6844,5.41,5.26
4076,AR-Wynne,3012,5.74,5.80
5001,CA-Alameda,8495,3.55,3.76
5003,CA-Alturas,1167,5.86,5.48
5004,CA-Anaheim,58459,3.63,3.92
5005,CA-Antioch,24776,4.00,4.11
5006,CA-Apple Valley,15237,4.36,4.94
5007,CA-Arcadia,32979,3.38,3.89
5008,CA-Arcata,5477,4.50,4.55
5009,CA-Arroyo Grande,11517,3.58,3.61
5012,CA-Auburn,17582,4.05,4.19
5013,CA-Avalon,407,,
5015,CA-Bakersfield,64141,4.68,4.75
5017,CA-Banning,15047,3.89,4.45
5018,CA-Barstow,4531,5.32,5.82
5019,CA-Bellflower,19771,3.39,3.46
5020,CA-Berkeley,23992,3.03,3.24
5021,CA-Big Bear Lake,4460,4.34,3.82
5022,CA-Bishop,3240,3.75,3.80
5023,CA-Blythe,2157,4.88,5.24
5024,CA-Brawley,4156,3.61,3.89
5028,CA-Burbank,42298,3.42,3.77
5029,CA-Burlingame,16719,3.22,3.38
5031,CA-Camarillo,15147,3.18,3.43
5032,CA-Canoga Park,39898,3.13,3.22
5033,CA-Carmichael,44189,4.16,4.15
5034,CA-Castro Valley,14452,3.94,4.56
5035,CA-Cedarville,331,,
5036,CA-Chester,1433,3.85,3.80
5037,CA-Chico,22160,3.94,3.97
5038,CA-Chino,14758,3.30,3.63
5040,CA-Chula Vista,50549,3.45,3.89
5041,CA-Clearlake,5081,4.56,4.60
5043,CA-Coalinga,1168,4.64,4.75
5044,CA-Colusa,2056,3.62,3.63
5045,CA-Concord,16191,3.79,3.81
5046,CA-Corcoran,1234,2.80,2.73
5047,CA-Corona,23787,3.80,4.01
5048,CA-Coronado,3856,3.25,3.26
5050,CA-Covina,14562,3.70,4.23
5051,CA-Crescent City,8508,4.79,4.81
5052,CA-Culver City,7350,3.45,3.78
5053,CA-Daly City,22232,3.37,3.57
5054,CA-Davis,10824,3.47,3.49
5055,CA-Deer Park,4518,3.39,3.67
5056,CA-Delano,5473,3.91,4.02
5057,CA-Dinuba,2598,3.79,3.89
5059,CA-Downey,27940,3.31,3.75
5060,CA-Duarte,3970,4.01,4.57
5062,CA-El Centro,16913,3.40,3.60
5063,CA-Encinitas,19224,3.06,3.07
5064,CA-Encino,3630,3.27,3.27
5065,CA-Escondido,27243,3.51,3.83
5066,CA-Eureka,9089,4.67,4.76
5068,CA-Fairfield,16068,3.78,3.87
5069,CA-Fall River Mills,1941,4.58,4.78
5070,CA-Fallbrook,8813,3.75,3.85
5071,CA-Folsom,8882,3.71,3.94
5072,CA-Fontana,14797,3.89,4.22
5073,CA-Fort Bragg,4620,3.54,3.71
5074,CA-Fortuna,4457,5.17,5.33
5075,CA-Fountain Valley,33162,3.35,3.47
5077,CA-Fremont,37069,2.98,2.86
5078,CA-Fresno,102529,3.95,4.05
5079,CA-Fullerton,48667,3.52,3.81
5080,CA-Garberville,1439,5.32,5.30
5081,CA-Garden Grove,13691,3.64,3.80
5082,CA-Gardena,5960,3.25,3.93
5083,CA-Gilroy,7658,3.76,4.41
5084,CA-Glendale,64680,3.12,3.62
5085,CA-Glendora,13143,3.81,4.44
5086,CA-Granada Hills,8250,3.14,3.27
5087,CA-Grass Valley,19213,3.64,3.71
5088,CA-Greenbrae,37265,3.07,3.10
5089,CA-Greenville,603,,
5090,CA-Gridley,2109,4.21,4.25
5091,CA-Hanford,12453,4.10,4.34
5092,CA-Harbor City,25938,3.33,3.75
5094,CA-Hawthorne,7789,3.32,3.71
5095,CA-Hayward,16581,3.64,3.48
5096,CA-Healdsburg,5759,3.39,3.52
5097,CA-Hemet,33531,4.32,4.45
5098,CA-Hollister,6101,3.42,3.47
5100,CA-Huntington Beach,20666,3.73,3.60
5102,CA-Indio,11757,3.83,4.79
5103,CA-Inglewood,26640,3.40,3.75
5104,CA-Jackson,9524,4.24,4.41
5105,CA-Joshua Tree,8876,5.40,6.28
5106,CA-King City,2081,4.07,4.23
5108,CA-La Jolla,27818,2.79,2.88
5109,CA-La Mesa,60558,3.96,4.22
5112,CA-Laguna Hills,29483,3.42,3.72
5114,CA-Lake Isabella,2766,5.84,6.34
5115,CA-Lakeport,6521,4.62,4.74
5116,CA-Lakewood,4205,3.60,4.06
5117,CA-Lancaster,39086,4.64,5.14
5118,CA-Lindsay,2199,4.13,4.13
5119,CA-Livermore,10389,3.79,3.79
5120,CA-Lodi,21348,4.30,4.51
5121,CA-Loma Linda,9471,3.67,3.81
5122,CA-Lompoc,6854,3.97,3.99
5123,CA-Lone Pine,474,,
5124,CA-Long Beach,55462,3.87,4.28
5125,CA-Los Alamitos,20323,3.24,3.27
5126,CA-Los Angeles,201241,3.13,3.47
5127,CA-Los Banos,3815,4.12,4.21
5130,CA-Lynwood,26147,3.65,4.40
5131,CA-Madera,9467,3.57,3.64
5132,CA-Mammoth Lakes,781,,
5133,CA-Manteca,11131,4.47,4.67
5136,CA-Martinez,7127,4.13,4.39
5137,CA-Marysville,8267,5.10,5.22
5138,CA-Merced,23837,4.14,4.25
5139,CA-Mission Hills,14480,3.43,4.31
5140,CA-Mission Viejo,29940,3.36,3.38
5141,CA-Modesto,52163,4.23,4.51
5144,CA-Montebello,18689,3.12,3.97
5145,CA-Monterey,23806,3.33,3.37
5146,CA-Monterey Park,11701,2.57,2.84
5148,CA-Mount Shasta,4066,4.43,4.64
5149,CA-Mountain View,40253,3.09,3.14
5150,CA-Napa,16856,4.07,4.55
5151,CA-National City,7209,3.22,3.65
5152,CA-Needles,1658,5.05,4.93
5155,CA-Newport Beach,45808,3.39,3.39
5157,CA-Northridge,23032,3.17,3.62
5158,CA-Norwalk,10987,3.57,4.25
5159,CA-Novato,11093,3.44,3.72
5160,CA-Oakdale,5105,3.75,3.65
5161,CA-Oakland,52543,3.35,3.40
5162,CA-Oceanside,53607,3.63,3.90
5163,CA-Ojai,4339,3.76,4.04
5165,CA-Orange,22187,3.53,3.48
5166,CA-Oroville,9975,4.33,4.41
5167,CA-Oxnard,22953,3.65,3.80
5168,CA-Palm Springs,17734,4.14,4.60
5171,CA-Panorama City,19219,3.09,3.66
5172,CA-Paradise,10502,3.87,3.96
5173,CA-Paramount,3786,3.59,4.28
5174,CA-Pasadena,34673,3.27,3.65
5177,CA-Petaluma,12122,3.95,4.14
5179,CA-Pinole,12374,3.45,3.63
5180,CA-Pittsburg,8221,3.75,4.22
5182,CA-Placerville,20269,4.00,4.28
5183,CA-Pomona,35300,3.45,4.05
5185,CA-Porterville,9454,4.35,4.51
5186,CA-Portola,1523,4.26,4.75
5187,CA-Poway,25106,3.33,3.62
5188,CA-Quincy,1270,4.67,4.62
5189,CA-Rancho Mirage,48676,3.39,3.37
5190,CA-Red Bluff,6094,4.77,4.89
5191,CA-Redding,34712,4.34,4.45
5192,CA-Redlands,20974,4.15,4.26
5194,CA-Redwood City,21912,3.22,3.25
5197,CA-Ridgecrest,5432,4.47,4.49
5198,CA-Riverside,68632,4.19,4.61
5199,CA-Roseville,46485,3.41,3.49
5200,CA-Sacramento,134196,3.79,3.82
5201,CA-Salinas,21644,3.58,3.59
5202,CA-San Andreas,8739,4.24,4.55
5203,CA-San Bernardino,37999,4.26,4.84
5204,CA-San Clemente,13738,3.57,3.71
5205,CA-San Diego,115242,3.56,3.89
5206,CA-San Dimas,5667,4.33,4.63
5208,CA-San Francisco,117510,3.03,3.14
5209,CA-San Gabriel,30678,2.83,3.68
5210,CA-San Jose,152756,3.17,3.23
5211,CA-San Leandro,14192,3.89,4.13
5212,CA-San Luis Obispo,17098,3.83,3.89
5213,CA-San Mateo,23540,3.31,3.37
5214,CA-San Pablo,14864,3.72,3.74
5215,CA-San Pedro,10958,3.44,3.77
5218,CA-Santa Ana,30554,3.43,3.52
5219,CA-Santa Barbara,31804,3.29,3.43
5221,CA-Santa Cruz,26336,3.79,3.87
5222,CA-Santa Maria,20203,3.53,3.58
5223,CA-Santa Monica,47622,2.98,3.09
5224,CA-Santa Paula,6239,3.73,3.86
5225,CA-Santa Rosa,46990,3.90,4.15
5226,CA-Sebastopol,7544,3.70,4.57
5227,CA-Selma,5642,4.00,3.83
5229,CA-Simi Valley,16583,3.55,3.77
5230,CA-Solvang,4347,3.09,3.26
5231,CA-Sonoma,8393,3.62,4.32
5232,CA-Sonora,13283,3.93,4.00
5233,CA-South El Monte,4044,3.27,3.50
5234,CA-South Laguna,20601,3.06,3.03
5235,CA-South Lake Tahoe,5098,4.13,4.14
5236,CA-South San Francisco,9767,3.23,2.98
5237,CA-Stanford,22761,2.73,2.73
5239,CA-Stockton,41372,4.06,4.16
5241,CA-Susanville,2825,3.68,3.79
5244,CA-Tarzana,10898,3.32,3.56
5246,CA-Templeton,14215,3.69,3.70
5247,CA-Thousand Oaks,33844,3.30,3.34
5248,CA-Torrance,66242,3.27,3.28
5249,CA-Tracy,8955,3.76,3.73
5250,CA-Truckee,3495,2.84,2.96
5251,CA-Tulare,7185,4.34,4.36
5252,CA-Turlock,12947,3.89,3.94
5253,CA-Ukiah,7061,4.60,4.64
5254,CA-Upland,41234,3.86,4.53
5255,CA-Vacaville,12469,3.95,3.75
5256,CA-Valencia,28154,3.75,4.01
5257,CA-Vallejo,22616,3.76,4.22
5258,CA-Van Nuys,25439,3.44,3.96
5259,CA-Ventura,18163,4.26,4.30
5260,CA-Victorville,28645,4.55,5.02
5261,CA-Visalia,22670,4.16,4.35
5262,CA-Walnut Creek,53633,3.18,3.27
5263,CA-Watsonville,10356,3.76,3.73
5264,CA-Weaverville,1063,4.51,4.85
5265,CA-West Covina,35611,3.15,3.89
5270,CA-Whittier,48540,3.24,3.38
5271,CA-Wildomar/Murrieta,33370,3.77,3.98
5272,CA-Willits,3119,4.74,4.79
5274,CA-Woodland,9437,3.76,4.21
5277,CA-Yreka,4958,4.05,4.12
5278,CA-Yuba City,12110,3.72,3.79
5282,CA-Irvine,13494,2.75,2.98
5285,CA-Morgan Hill,6264,3.29,3.76
5287,CA-Pleasanton,13900,3.11,3.15
5288,CA-San Ramon,7057,3.13,2.95
5289,CA-Sun City,19599,3.93,4.36
6002,CO-Alamosa,5555,4.02,4.31
6003,CO-Aspen,2007,1.99,2.04
6004,CO-Aurora,41861,3.89,3.80
6005,CO-Boulder,21459,3.52,3.65
6006,CO-Brighton,11837,4.72,5.39
6007,CO-Brush,1282,4.71,5.01
6008,CO-Burlington,1085,4.70,4.58
6009,CO-Canon City,8035,4.78,5.19
6010,CO-Cheyenne Wells,325,,
6011,CO-Colorado Springs,79504,4.04,4.03
6012,CO-Cortez,5354,4.25,4.48
6013,CO-Craig,1653,4.64,4.75
6015,CO-Delta,7084,4.42,4.54
6016,CO-Denver,208677,3.91,3.99
6017,CO-Durango,10123,3.79,3.99
6018,CO-Eads,210,,
6020,CO-Estes Park,2802,2.99,3.06
6022,CO-Fort Collins,23049,3.62,3.79
6023,CO-Fort Morgan,2646,4.10,4.23
6025,CO-Glenwood Springs,7982,3.16,3.18
6026,CO-Grand Junction,25472,4.37,4.86
6027,CO-Greeley,22880,4.29,4.53
6028,CO-Gunnison,1793,3.34,3.53
6029,CO-Haxtun,351,,
6030,CO-Holyoke,520,,
6031,CO-Hugo,1048,4.16,4.23
6032,CO-Julesburg,486,,
6033,CO-Kremmling,260,,
6034,CO-La Jara,1742,4.97,5.49
6035,CO-La Junta,4289,5.06,5.29
6036,CO-Lamar,1971,4.69,4.68
6037,CO-Leadville,668,,
6038,CO-Longmont,17427,4.09,4.68
6039,CO-Loveland,17032,4.07,4.49
6040,CO-Meeker,577,,
6041,CO-Montrose,9353,4.27,4.42
6042,CO-Pueblo,27777,4.32,4.40
6043,CO-Rangely,323,,
6045,CO-Salida,5206,3.45,3.51
6046,CO-Springfield,873,4.14,4.13
6047,CO-Steamboat Springs,2645,3.22,3.56
6048,CO-Sterling,3936,4.23,4.25
6049,CO-Thornton,11226,5.43,6.41
6050,CO-Trinidad,2837,4.40,4.30
6051,CO-Vail,1399,2.19,2.18
6052,CO-Walsenburg,1723,3.88,3.65
6053,CO-Wheat Ridge,38594,3.97,4.41
6054,CO-Wray,894,3.92,3.84
6055,CO-Yuma,797,3.61,3.59
7001,CT-Bridgeport,42119,3.96,4.06
7002,CT-Bristol,11957,4.44,4.83
7003,CT-Danbury,26163,3.61,3.76
7004,CT-Derby,16728,4.14,4.31
7006,CT-Greenwich,10223,3.52,3.53
7007,CT-Hartford,82003,3.73,3.89
7008,CT-Manchester,14448,4.05,4.39
7009,CT-Meriden,15901,4.46,4.79
7010,CT-Middletown,31040,4.11,4.33
7011,CT-Milford,9291,4.51,5.05
7012,CT-New Britain,15286,3.96,4.27
7013,CT-New Haven,60245,3.88,4.22
7014,CT-New London,25558,4.23,4.46
7015,CT-New Milford,8168,4.06,4.08
7017,CT-Norwalk,23204,3.29,3.37
7018,CT-Norwich,10663,4.11,4.28
7019,CT-Putnam,11390,4.64,5.07
7020,CT-Rockville,8952,4.28,4.74
7021,CT-Sharon,7613,4.32,4.44
7022,CT-Southington,8294,3.82,4.17
7023,CT-Stafford Springs,11111,4.26,4.33
7024,CT-Stamford,19193,3.27,3.40
7025,CT-Torrington,10872,4.43,4.77
7026,CT-Waterbury,41517,4.13,4.36
7027,CT-Willimantic,10661,4.39,4.60
7028,CT-Winsted,3090,3.94,3.94
8001,DE-Dover,21702,4.35,4.30
8002,DE-Lewes,26076,3.95,3.97
8003,DE-Milford,14155,4.78,4.79
8004,DE-Seaford,8518,4.92,4.99
8005,DE-Wilmington,72364,4.15,4.15
9001,DC-Washington,108351,3.53,3.51
10001,FL-Apalachicola,1394,5.32,5.96
10002,FL-Arcadia,5349,4.11,4.43
10003,FL-Atlantis,32101,3.76,4.26
10005,FL-Avon Park,16326,4.20,4.53
10006,FL-Bartow,5470,5.37,6.12
10007,FL-Belle Glade,2427,4.16,5.20
10008,FL-Blountstown,1955,6.72,7.97
10009,FL-Boca Raton,47905,3.34,3.45
10011,FL-Boynton Beach,50633,3.21,3.31
10012,FL-Bradenton,63572,3.97,4.28
10013,FL-Brandon,33847,4.73,5.18
10014,FL-Brooksville,6596,5.44,6.09
10015,FL-Bunnell,23390,3.66,3.93
10016,FL-Cape Coral,33079,4.05,4.39
10017,FL-Chipley,2799,5.68,5.94
10018,FL-Clearwater,33910,4.17,4.58
10019,FL-Clermont,17116,3.53,3.68
10020,FL-Clewiston,1992,5.14,5.69
10021,FL-Cocoa Beach,11044,4.21,4.38
10022,FL-Coral Gables,1873,2.88,2.91
10023,FL-Coral Springs,14665,4.27,4.52
10024,FL-Crestview,8465,4.84,4.89
10025,FL-Crystal River,26244,4.64,4.93
10026,FL-Dade City,6993,4.77,4.83
10027,FL-Daytona Beach,35692,4.64,5.01
10028,FL-De Funiak Springs,4361,6.08,6.20
10029,FL-De Land,20591,4.54,5.01
10030,FL-Delray Beach,29516,3.37,3.55
10031,FL-Destin,7263,3.63,3.89
10032,FL-Dunedin,9467,4.54,5.43
10033,FL-Englewood,16689,3.68,3.86
10034,FL-Eustis,27524,4.27,4.60
10035,FL-Fernandina Beach,8083,3.74,3.83
10036,FL-Fort Lauderdale,80906,4.06,4.49
10037,FL-Fort Myers,83201,3.63,3.85
10038,FL-Fort Pierce,12754,4.31,4.44
10039,FL-Fort Walton Beach,12016,4.64,4.76
10040,FL-Gainesville,63076,4.69,4.86
10041,FL-Graceville,1041,6.87,6.62
10043,FL-Gulf Breeze,9666,3.85,3.96
10045,FL-Hialeah,58307,3.49,5.55
10046,FL-Hollywood,47905,4.00,4.62
10047,FL-Homestead,5293,4.56,5.89
10048,FL-Hudson,12948,4.71,4.96
10049,FL-Inverness,20435,4.51,4.86
10050,FL-Jacksonville,125609,4.47,4.73
10051,FL-Jacksonville Beach,5262,4.09,4.46
10052,FL-Jasper,2166,4.65,4.21
10053,FL-Jay,958,4.68,4.65
10054,FL-Jupiter,17038,3.53,3.69
10055,FL-Key West,5892,4.11,4.17
10056,FL-Kissimmee,31560,3.81,4.72
10058,FL-Lake City,11041,5.52,5.76
10059,FL-Lake Wales,9479,4.61,4.87
10061,FL-Lakeland,45239,4.54,5.00
10062,FL-Largo,34201,4.49,4.90
10063,FL-Leesburg,47321,3.62,3.90
10064,FL-Lehigh Acres,10357,4.23,4.97
10069,FL-Madison,1664,5.37,5.48
10070,FL-Marathon,3117,3.73,3.87
10071,FL-Margate,9361,4.23,5.27
10072,FL-Marianna,6703,5.54,5.80
10073,FL-Melbourne,63966,4.09,4.46
10074,FL-Miami,278706,3.54,4.79
10075,FL-Miami Beach,18330,3.53,4.04
10076,FL-Milton,8400,5.01,5.23
10077,FL-Naples,92915,3.22,3.38
10078,FL-New Port Richey,41473,4.67,5.24
10079,FL-New Smyrna Beach,16655,4.28,4.86
10080,FL-Niceville,7509,4.23,4.40
10083,FL-Ocala,119877,3.89,4.22
10084,FL-Okeechobee,6932,5.09,5.50
10085,FL-Orange Park,25486,4.60,4.79
10086,FL-Orlando,151557,3.93,4.37
10087,FL-Ormond Beach,20835,4.40,4.96
10088,FL-Pahokee,899,4.06,
10089,FL-Palatka,12155,5.40,5.82
10090,FL-Palm Beach Gardens,25250,3.25,3.28
10091,FL-Panama City,29179,4.94,5.06
10092,FL-Pembroke Pines,30949,3.52,4.44
10093,FL-Pensacola,54905,4.61,4.84
10096,FL-Plant City,10104,4.82,5.03
10097,FL-Plantation,29278,3.74,4.21
10098,FL-Pompano Beach,20152,4.36,4.89
10099,FL-Port Charlotte,40517,3.79,4.17
10100,FL-Port St. Joe,1864,5.77,6.29
10101,FL-Port St. Lucie,35823,4.02,4.38
10102,FL-Punta Gorda,14557,3.58,3.83
10104,FL-Rockledge,21497,4.56,4.94
10105,FL-Safety Harbor,22901,4.06,4.63
10106,FL-Sanford,27908,4.53,5.35
10107,FL-Sarasota,68118,3.43,3.57
10108,FL-Sebastian,12543,4.22,4.60
10109,FL-Sebring,14591,3.98,4.32
10111,FL-South Miami,4676,3.07,3.30
10112,FL-Spring Hill,38482,4.07,4.63
10113,FL-St. Augustine,25679,4.05,4.27
10114,FL-St. Cloud,9151,4.74,5.24
10115,FL-St. Petersburg,75942,4.58,4.91
10117,FL-Stuart,37632,3.62,3.79
10118,FL-Sun City Center,21830,3.78,3.99
10119,FL-Tallahassee,50012,4.49,4.87
10120,FL-Tamarac,11657,3.60,4.27
10121,FL-Tampa,113218,4.41,4.99
10122,FL-Tarpon Springs,7514,4.15,4.24
10123,FL-Tavernier,4462,4.15,4.38
10124,FL-Titusville,14520,4.86,5.24
10125,FL-Venice,32879,3.43,3.62
10126,FL-Vero Beach,33954,3.84,3.98
10128,FL-West Palm Beach,57326,3.99,4.44
10131,FL-Winter Haven,40513,4.70,5.01
10132,FL-Winter Park,13400,3.80,4.07
10133,FL-Zephyrhills,13239,4.43,4.87
10135,FL-Ocoee,10165,4.42,5.12
11001,GA-Adel,2195,5.73,6.47
11002,GA-Albany,22526,4.59,4.92
11003,GA-Alma,2402,6.27,7.12
11004,GA-Americus,5311,4.83,5.00
11005,GA-Arlington,354,,
11006,GA-Athens,30135,4.29,4.48
11007,GA-Atlanta,166024,3.98,4.13
11008,GA-Augusta,57690,4.85,4.90
11009,GA-Austell,17127,4.73,4.86
11010,GA-Bainbridge,3887,5.05,5.24
11011,GA-Baxley,2358,5.70,5.66
